Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,10386.599609,10390.900391,10291.250000,10362.250000,10362.250000,0
2017-01-04,10368.150391,10517.549805,10364.000000,10496.900391,10496.900391,0
2017-01-05,10539.750000,10590.049805,10379.299805,10400.049805,10400.049805,0
2017-01-06,10352.799805,10372.900391,10063.349609,10110.450195,10110.450195,0
2017-01-09,10070.650391,10214.200195,10023.650391,10198.450195,10198.450195,0
2017-01-10,10232.549805,10255.849609,10184.349609,10221.500000,10221.500000,0
2017-01-11,10238.049805,10282.200195,10154.500000,10220.549805,10220.549805,0
2017-01-12,10237.450195,10410.799805,10236.000000,10398.799805,10398.799805,0
2017-01-13,10504.049805,10551.400391,10217.450195,10263.549805,10263.549805,0
2017-01-16,10223.049805,10223.049805,10137.000000,10173.099609,10173.099609,0
2017-01-17,10166.849609,10275.000000,10166.400391,10206.799805,10206.799805,0
2017-01-18,10217.500000,10270.500000,10208.849609,10231.599609,10231.599609,0
2017-01-19,10223.049805,10251.799805,10174.500000,10222.150391,10222.150391,0
2017-01-20,10165.500000,10192.700195,10113.200195,10132.650391,10132.650391,0
2017-01-23,10060.650391,10234.650391,10029.299805,10219.400391,10219.400391,0
2017-01-24,10186.500000,10213.700195,10133.150391,10201.599609,10201.599609,0
2017-01-25,10221.650391,10239.500000,10154.750000,10164.450195,10164.450195,0
2017-01-27,10144.200195,10212.549805,10100.849609,10181.849609,10181.849609,0
2017-01-30,10114.349609,10195.700195,10065.049805,10170.650391,10170.650391,0
2017-01-31,10158.200195,10158.200195,9620.450195,9848.500000,9848.500000,0
2017-02-01,9811.099609,9831.049805,9592.250000,9750.000000,9750.000000,0
2017-02-02,9753.549805,9989.200195,9681.750000,9926.000000,9926.000000,0
2017-02-03,9927.349609,10058.799805,9863.650391,10025.799805,10025.799805,0
2017-02-06,10076.549805,10093.150391,9954.549805,10029.049805,10029.049805,0
2017-02-07,10034.950195,10042.150391,9967.849609,9997.950195,9997.950195,0
2017-02-08,9988.599609,10071.650391,9973.599609,10007.049805,10007.049805,0
2017-02-09,10026.400391,10186.099609,10005.000000,10167.900391,10167.900391,0
2017-02-10,10185.450195,10432.950195,10180.450195,10387.849609,10387.849609,0
2017-02-13,10402.150391,10469.200195,10340.400391,10452.900391,10452.900391,0
2017-02-14,10462.349609,10489.450195,10423.750000,10474.099609,10474.099609,0
