Date,Dividends
2017-01-25,2.000000
2017-04-07,2.000000
2017-07-10,3.000000
2017-11-02,2.000000
2018-01-24,2.000000
2018-04-25,2.000000
2018-07-09,3.000000
2018-07-10,3.000000
2018-10-25,3.000000
2019-01-23,3.000000
2019-04-25,3.000000
2019-07-08,20.000000
2019-07-09,20.000000
2019-10-24,3.000000
2020-07-06,10.000000
2020-10-26,7.500000
2021-07-05,17.500000
2021-10-21,10.000000
