close_time,open,high,low,close,volume,quote_volume
2022-05-01,38599.3,38786.95,37597.36,37639.8,728.27961992,27883027.1164063
2022-05-02,37638.78,38672.2,37400.0,38488.34,1248.04269032,47538101.999253124
2022-05-03,38484.46,39153.13,38045.79,38521.01,1434.10079893,55429662.56166332
2022-05-04,38506.38,38641.57,37515.83,37729.95,1157.92207652,44152197.88817364
2022-05-05,37735.35,40050.19,37665.46,39685.23,2297.27213438,89979073.70369667
2022-05-06,39685.23,39840.37,35579.4,36533.93,3736.73012912,139953596.94354913
2022-05-07,36542.41,36648.2,35268.69,36019.22,2594.53333069,93578512.49294683
2022-05-08,36019.15,36123.99,34777.85,35463.46,1224.39699253,43497514.069577016
2022-05-09,35465.46,35496.55,33710.16,34025.5,2670.39981616,91986984.20628178
2022-05-10,34051.2,34224.35,30015.0,30082.0,7631.12166167,242958752.10901922
2022-05-11,30066.48,32650.0,29731.03,30999.97,7361.93015376,229903865.43590707
2022-05-12,31002.27,32148.15,27757.77,29000.0,11180.84883589,335525174.3499036
2022-05-13,28999.99,30090.7,25401.05,28896.19,16578.810599,463600868.9238958
2022-05-14,28932.69,30974.6,28686.37,29238.81,6010.27363922,181177922.33354968
2022-05-15,29239.41,30281.49,28561.23,30033.96,2910.99216303,85521322.30130568
2022-05-16,30041.16,31411.48,29440.71,31295.03,2085.06630084,63030894.28649838
2022-05-17,31275.27,31275.27,29060.0,29832.45,3112.79429009,92889854.87281208
2022-05-18,29847.53,30753.96,29400.0,30425.36,2143.92566327,64786378.29585694
2022-05-19,30423.9,30670.0,28615.23,28681.26,2318.15544994,68215638.93752912
2022-05-20,28681.15,30505.14,28656.46,30290.33,2516.77484526,74838566.40622437
2022-05-21,30271.22,30725.56,28690.13,29176.7,2337.17319044,69203225.5036315
2022-05-22,29176.7,29621.01,28914.7,29421.05,490.42738451,14381523.681345847
2022-05-23,29400.34,30457.58,29209.03,30264.66,1318.89417974,39467108.21845539
2022-05-24,30264.66,30628.0,28839.29,29081.76,2158.65047198,64714359.97228893
2022-05-25,29081.76,29810.38,28632.4,29632.15,1490.23613231,43606086.80192787
2022-05-26,29626.53,30189.7,29313.78,29510.15,1563.30877003,46493061.46584142
2022-05-27,29511.95,29853.34,28003.0,29183.06,2835.00522362,82505998.35359633
2022-05-28,29183.39,29360.34,28253.57,28589.48,2109.94198208,60856951.83581946
2022-05-29,28606.08,29231.9,28498.73,29010.82,721.5469467,20826871.060235634
2022-05-30,29010.82,29561.04,28814.46,29448.94,909.19180016,26516148.40007326
2022-05-31,29454.69,32195.68,29276.15,31731.22,3257.5487365,100208785.86716159
2022-06-01,31677.13,32375.81,31181.26,31762.76,1621.62249868,51418130.711694315
2022-06-02,31777.06,31962.79,29309.84,29787.4,2629.80184718,80576582.01295413
2022-06-03,29791.96,30688.82,29568.13,30437.18,1226.29074296,36861370.803327754
2022-06-04,30437.77,30670.07,29232.99,29669.39,1151.14514737,34380305.61822907
2022-06-05,29688.17,29948.84,29444.21,29853.51,472.40386055,14036016.675376702
2022-06-06,29834.06,30153.18,29514.96,29888.98,563.06294053,16833343.67598375
2022-06-07,29905.46,31737.31,29868.16,31351.21,2494.10424691,77834106.31011099
2022-06-08,31351.1,31536.11,29184.25,31115.82,3672.30493412,111467638.25147952
2022-06-09,31108.3,31310.53,29831.85,30185.58,1909.67240307,58083341.250523575
2022-06-10,30190.31,30672.56,29920.56,30089.03,953.92926451,28821164.171894543
2022-06-11,30068.53,30333.81,28832.83,29065.66,2545.34126907,75150530.54268263
2022-06-12,29065.66,29403.62,28085.75,28390.94,1587.1952467,45578351.123931386
2022-06-13,28397.38,28523.06,26500.0,26585.1,2588.83347441,71216475.98960258
2022-06-14,26538.63,26845.63,21910.26,22450.43,12621.88318574,303550673.58153975
2022-06-15,22407.53,23288.88,20816.35,22097.3,8576.80050998,189364935.13189623
2022-06-16,22077.83,22756.0,20079.72,22555.27,13481.53959307,285246968.93500024
2022-06-17,22563.82,22957.01,20200.0,20382.88,4889.1243038,103760805.50826901
2022-06-18,20387.66,21325.06,20220.16,20440.7,3615.09731757,74717609.7862097
2022-06-19,20428.19,20758.0,17592.78,18956.8,7958.38532206,150332174.9426054
2022-06-20,18952.14,20783.48,17930.7,20552.82,5100.88311828,98854190.43886076
2022-06-21,20557.2,21036.89,19616.1,20555.44,5112.85052521,104037568.95994681
2022-06-22,20555.44,21708.76,20332.07,20712.29,3543.16812013,74492273.25815079
2022-06-23,20710.01,20863.44,19743.99,19963.68,4210.49538322,85438027.893435
2022-06-24,19977.24,21204.14,19869.63,21093.42,2677.89902823,55230494.43309872
2022-06-25,21102.75,21538.4,20713.77,21215.42,2444.77217091,51515877.940955244
2022-06-26,21229.66,21586.67,20890.0,21486.8,1196.38466227,25470445.191037122
2022-06-27,21486.67,21868.0,20968.85,21028.69,1437.60709463,30757521.13150057
2022-06-28,21029.19,21516.85,20491.28,20699.72,1648.58803237,34597520.25151116
2022-06-29,20722.27,21178.73,20176.0,20261.34,2048.6845194,42495183.39362636
2022-06-30,20253.88,20398.99,19827.0,20093.18,1605.32356204,32281807.604072344
2022-07-01,20098.0,20131.06,18595.6,19924.89,4907.84854025,94567200.06117162
2022-07-02,19960.61,20895.08,18944.69,19239.47,4424.08855864,87181162.33243987
2022-07-03,19263.41,19425.08,18960.0,19228.25,1478.97411836,28438244.325897153
2022-07-04,19232.76,19616.43,18763.96,19294.46,1438.93649433,27610238.90680985
2022-07-05,19296.88,20319.88,19032.44,20209.53,2016.0820069,39668268.42123407
2022-07-06,20209.02,20720.0,19281.82,20168.63,2882.22647228,57620118.79296162
2022-07-07,20164.65,20648.76,19750.16,20547.45,2093.38193195,42276379.43059769
2022-07-08,20546.29,21847.25,20237.58,21643.56,3422.57159508,72403082.01606143
2022-07-09,21620.85,22401.0,21164.07,21584.14,3352.94753796,73094020.37127411
2022-07-10,21592.69,21955.18,21311.36,21588.35,865.38701575,18708148.13769298
2022-07-11,21581.98,21593.73,20629.99,20856.08,1398.91806277,29499544.76450803
2022-07-12,20851.14,20858.75,19869.0,19949.71,1381.03847332,28205014.393210873
2022-07-13,19948.55,20036.24,19237.42,19321.14,1738.03082444,34248470.41195422
2022-07-14,19337.91,20367.88,18905.55,20232.35,3195.72934483,62613538.1163214
2022-07-15,20225.24,20880.0,19608.47,20577.23,2574.75885317,52183102.37986203
2022-07-16,20569.17,21186.35,20368.7,20835.39,1581.8301293,32952829.581998434
2022-07-17,20823.7,21577.0,20472.68,21195.49,1740.63926769,36555483.45055917
2022-07-18,21198.34,21664.52,20751.08,20801.85,1497.20354125,31762577.047557905
2022-07-19,20786.76,22760.04,20757.29,22435.04,4288.35687434,94369203.08034769
2022-07-20,22439.63,23800.0,21578.45,23405.02,4682.35297064,106198469.0825056
2022-07-21,23392.04,24280.3,22893.95,23208.53,4052.68459237,95652211.95544879
2022-07-22,23217.0,23430.33,22340.34,23163.34,2267.47408756,51965944.95893263
2022-07-23,23166.09,23760.87,22512.42,22682.26,2025.58385843,46955763.154533125
2022-07-24,22696.19,23005.68,21944.47,22468.69,1010.85783614,22671301.571997236
2022-07-25,22468.7,23006.77,22272.23,22595.81,681.19673676,15447614.510622248
2022-07-26,22589.47,22673.68,21250.0,21306.56,2128.78016831,46670704.88500819
2022-07-27,21314.26,21344.09,20700.13,21259.78,1965.57798404,41271528.194068804
2022-07-28,21266.14,23112.9,21047.7,22969.04,2976.18882906,65801591.666746534
