close_time,open,high,low,close,volume,quote_volume
2018-01-01,698.45,759.08,687.03,743.48,24771.967,17864148.0
2018-01-02,743.5,768.87,722.02,752.78,29181.93,21811550.0
2018-01-03,754.5,888.0,754.5,858.6,67590.83,57198790.0
2018-01-04,858.6,950.0,850.0,940.4,56986.426,50501348.0
2018-01-05,938.09,999.91,895.52,940.49,77159.1,73310850.0
2018-01-06,940.49,1022.0,924.69,966.0,51927.535,50714828.0
2018-01-07,967.46,1009.22,950.01,1004.27,29964.807,29705762.0
2018-01-08,1004.25,1118.72,1000.0,1117.96,47293.14,50605184.0
2018-01-09,1116.96,1229.76,964.0,1130.0,109463.43,123156080.0
2018-01-10,1135.94,1301.0,1115.0,1287.47,102866.16,123640456.0
2018-01-11,1287.45,1378.99,1187.96,1240.48,96346.586,125833810.0
2018-01-12,1247.79,1334.33,1100.0,1135.0,95574.84,114656984.0
2018-01-13,1139.45,1288.34,1080.59,1258.68,45847.035,55865544.0
2018-01-14,1258.68,1420.0,1256.0,1384.78,41803.45,56577790.0
2018-01-15,1381.52,1389.0,1265.0,1359.59,35328.79,46818412.0
2018-01-16,1363.82,1379.0,1269.0,1276.71,33992.016,44684244.0
2018-01-17,1272.66,1281.16,862.11,1057.88,127936.484,136648820.0
2018-01-18,1057.89,1109.58,761.61,1029.22,178960.25,161963250.0
2018-01-19,1029.25,1105.0,951.12,1024.69,96037.79,99162640.0
2018-01-20,1024.66,1095.0,995.01,1036.03,49830.2,51784108.0
2018-01-21,1039.83,1171.0,1036.03,1150.0,31905.744,35837972.0
2018-01-22,1149.99,1151.0,1008.0,1049.09,37050.508,39711696.0
2018-01-23,1052.35,1092.0,917.0,997.21,48353.01,48039550.0
2018-01-24,999.29,1024.98,905.0,983.7,61938.113,60151710.0
2018-01-25,987.56,1069.65,957.69,1065.0,44493.84,45222816.0
2018-01-26,1064.84,1105.0,1014.48,1050.0,62111.414,65265756.0
2018-01-27,1049.92,1075.9,984.0,1051.81,39341.496,40454950.0
2018-01-28,1051.92,1126.01,1034.45,1115.51,29317.9,31570046.0
2018-01-29,1115.15,1240.0,1099.76,1229.41,29145.021,34696864.0
2018-01-30,1229.97,1239.0,1141.0,1168.0,40475.855,47712710.0
2018-01-31,1168.0,1172.0,1025.77,1051.54,61834.348,68296424.0
2018-02-01,1054.55,1118.88,1010.77,1110.14,34149.17,36823670.0
2018-02-02,1110.14,1152.05,936.0,1022.08,92005.34,97387920.0
2018-02-03,1020.16,1020.16,731.0,918.39,183666.25,162643920.0
2018-02-04,918.38,995.0,838.67,969.93,27333.29,25614294.0
2018-02-05,969.96,969.96,782.0,826.51,37124.11,32212416.0
2018-02-06,825.13,855.0,632.0,692.36,128779.29,93646810.0
2018-02-07,692.38,808.0,565.0,784.01,157477.02,105325384.0
2018-02-08,788.13,866.05,720.01,752.89,74665.3,59646030.0
2018-02-09,753.95,846.28,748.42,812.01,40308.285,32637806.0
2018-02-10,814.32,883.07,780.88,875.1,40269.6,33437628.0
